#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,9085183,5437.0,315651.0,408.0,5896505.0,4277.0,2873027.0,17381.0,,,,,,North America,,,
,Asia,10993263,15788.0,200106.0,252.0,9274815.0,27498.0,1518342.0,20728.0,,,,,,Asia,,,
,South America,8257365,350.0,260484.0,28.0,7096388.0,451.0,900493.0,17343.0,,,,,,South America,,,
,Europe,5284788,22954.0,224831.0,205.0,2607023.0,6998.0,2452934.0,9087.0,,,,,,Europe,,,
,Africa,1514844,,36399.0,,1253356.0,,225089.0,1576.0,,,,,,Africa,,,
,Oceania,31554,20.0,936.0,1.0,28791.0,21.0,1827.0,18.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,35167718,44549.0,1038422.0,894.0,26157529.0,39245.0,7971767.0,66137.0,4512.0,133.2,,,,All,,,
1.0,USA,7600846,,214277.0,,4818509.0,,2568060.0,14179.0,22928.0,646.0,110526283.0,333407.0,331505144.0,North America,44.0,1547.0,3.0
2.0,India,6553027,5614.0,101841.0,29.0,5509966.0,3234.0,941220.0,8944.0,4737.0,74.0,78992534.0,57096.0,1383493334.0,Asia,211.0,13585.0,18.0
3.0,Brazil,4906833,,146011.0,,4248574.0,,512248.0,8318.0,23042.0,686.0,17900000.0,84057.0,212949768.0,South America,43.0,1458.0,12.0
4.0,Russia,1215001,10499.0,21358.0,107.0,979143.0,3284.0,214500.0,2300.0,8325.0,146.0,47683832.0,326712.0,145950806.0,Europe,120.0,6834.0,3.0
5.0,Colombia,848147,,26556.0,,757801.0,,63790.0,2220.0,16623.0,520.0,3861628.0,75685.0,51022157.0,South America,60.0,1921.0,13.0
6.0,Peru,824985,,32665.0,,700868.0,,91452.0,1311.0,24932.0,987.0,3939873.0,119069.0,33089123.0,South America,40.0,1013.0,8.0
7.0,Spain,810807,,32086.0,,,,,1566.0,17340.0,686.0,12723989.0,272116.0,46759508.0,Europe,58.0,1457.0,4.0
8.0,Argentina,790818,,20795.0,,626114.0,,143909.0,3820.0,17456.0,459.0,2051037.0,45274.0,45302542.0,South America,57.0,2179.0,22.0
9.0,Mexico,757953,4863.0,78880.0,388.0,545530.0,4012.0,133543.0,2324.0,5863.0,610.0,1997375.0,15450.0,129280692.0,North America,171.0,1639.0,65.0
10.0,South Africa,679716,,16938.0,,612763.0,,50015.0,539.0,11424.0,285.0,4251513.0,71454.0,59500056.0,Africa,88.0,3513.0,14.0
11.0,France,606625,,32198.0,,97778.0,,476649.0,1276.0,9288.0,493.0,11174392.0,171095.0,65311128.0,Europe,108.0,2028.0,6.0
12.0,UK,480017,,42317.0,,,,,368.0,7061.0,623.0,25048460.0,368477.0,67978425.0,Europe,142.0,1606.0,3.0
13.0,Chile,468471,,12919.0,,440881.0,,14671.0,849.0,24452.0,674.0,3430220.0,179044.0,19158488.0,South America,41.0,1483.0,6.0
14.0,Iran,468119,,26746.0,,387675.0,,53698.0,4127.0,5555.0,317.0,4095161.0,48597.0,84267984.0,Asia,180.0,3151.0,21.0
15.0,Iraq,375931,,9347.0,,303665.0,,62919.0,538.0,9294.0,231.0,2330386.0,57612.0,40449405.0,Asia,108.0,4328.0,17.0
16.0,Bangladesh,367565,,5325.0,,280069.0,,82171.0,,2226.0,32.0,1979805.0,11991.0,165111213.0,Asia,449.0,31007.0,83.0
17.0,Saudi Arabia,335997,,4850.0,,320974.0,,10173.0,954.0,9613.0,139.0,6638679.0,189938.0,34951895.0,Asia,104.0,7207.0,5.0
18.0,Turkey,323014,,8384.0,,283868.0,,30762.0,1470.0,3819.0,99.0,10711883.0,126660.0,84572067.0,Asia,262.0,10087.0,8.0
19.0,Italy,322751,,35968.0,,231217.0,,55566.0,297.0,5340.0,595.0,11691391.0,193443.0,60438534.0,Europe,187.0,1680.0,5.0
20.0,Philippines,322497,3190.0,5776.0,100.0,273079.0,18065.0,43642.0,1758.0,2933.0,53.0,3837101.0,34897.0,109953871.0,Asia,341.0,19036.0,29.0
21.0,Pakistan,314616,632.0,6513.0,6.0,298968.0,375.0,9135.0,513.0,1417.0,29.0,3644762.0,16420.0,221976672.0,Asia,706.0,34082.0,61.0
22.0,Indonesia,303498,3992.0,11151.0,96.0,228453.0,3401.0,63894.0,,1107.0,41.0,3488141.0,12718.0,274266435.0,Asia,904.0,24596.0,79.0
23.0,Germany,300028,,9597.0,,260800.0,,29631.0,373.0,3578.0,114.0,16999253.0,202725.0,83853604.0,Europe,279.0,8737.0,5.0
24.0,Israel,265086,643.0,1692.0,10.0,193027.0,1776.0,70367.0,891.0,28821.0,184.0,3703125.0,402619.0,9197590.0,Asia,35.0,5436.0,2.0
25.0,Ukraine,226462,4140.0,4397.0,44.0,100107.0,1370.0,121958.0,177.0,5186.0,101.0,2362857.0,54114.0,43664440.0,Europe,193.0,9931.0,18.0
26.0,Canada,164471,,9462.0,,138867.0,,16142.0,126.0,4348.0,250.0,7563615.0,199951.0,37827405.0,North America,230.0,3998.0,5.0
27.0,Ecuador,140351,,11597.0,,112296.0,,16458.0,366.0,7924.0,655.0,451098.0,25469.0,17711304.0,South America,126.0,1527.0,39.0
28.0,Bolivia,136569,350.0,8073.0,28.0,97105.0,451.0,31391.0,71.0,11659.0,689.0,306481.0,26164.0,11713696.0,South America,86.0,1451.0,38.0
29.0,Romania,134065,,4947.0,,107058.0,,22060.0,583.0,6981.0,258.0,2496439.0,129997.0,19203798.0,Europe,143.0,3882.0,8.0
30.0,Netherlands,131889,,6449.0,,,,,170.0,7693.0,376.0,2449577.0,142876.0,17144746.0,Europe,130.0,2659.0,7.0
31.0,Morocco,131228,,2293.0,,108687.0,,20248.0,440.0,3545.0,62.0,2689136.0,72635.0,37022670.0,Africa,282.0,16146.0,14.0
32.0,Belgium,127623,3389.0,10044.0,7.0,19645.0,74.0,97934.0,184.0,10999.0,866.0,3368218.0,290296.0,11602714.0,Europe,91.0,1155.0,3.0
33.0,Qatar,126339,,216.0,,123302.0,,2821.0,58.0,44996.0,77.0,791424.0,281866.0,2807805.0,Asia,22.0,12999.0,4.0
34.0,Panama,114653,,2414.0,,91195.0,,21044.0,112.0,26466.0,557.0,499050.0,115199.0,4332053.0,North America,38.0,1795.0,9.0
35.0,Dominican Republic,113926,,2128.0,,89635.0,,22163.0,178.0,10475.0,196.0,488732.0,44937.0,10875874.0,North America,95.0,5111.0,22.0
36.0,Kazakhstan,108177,71.0,1725.0,,103205.0,95.0,3247.0,221.0,5744.0,92.0,2964281.0,157388.0,18834250.0,Asia,174.0,10918.0,6.0
37.0,Kuwait,106458,,620.0,,98435.0,,7403.0,129.0,24835.0,145.0,755765.0,176306.0,4286672.0,Asia,40.0,6914.0,6.0
38.0,Egypt,103575,,5970.0,,97274.0,,331.0,41.0,1007.0,58.0,135000.0,1313.0,102822853.0,Africa,993.0,17223.0,762.0
39.0,Poland,100074,1934.0,2630.0,26.0,73003.0,794.0,24441.0,191.0,2645.0,70.0,3447281.0,91112.0,37835758.0,Europe,378.0,14386.0,11.0
40.0,Oman,98585,,935.0,,88528.0,,9122.0,190.0,19183.0,182.0,376700.0,73301.0,5139093.0,Asia,52.0,5496.0,14.0
41.0,UAE,97760,,426.0,,87122.0,,10212.0,,9854.0,43.0,10023959.0,1010377.0,9921012.0,Asia,101.0,23289.0,1.0
42.0,Sweden,94283,,5895.0,,,,,20.0,9321.0,583.0,1661484.0,164250.0,10115558.0,Europe,107.0,1716.0,6.0
43.0,Guatemala,93748,,3285.0,,82040.0,,8423.0,5.0,5208.0,183.0,336546.0,18698.0,17999491.0,North America,192.0,5479.0,53.0
