id,text,similarity,title
35, Clinical trials on highrisk cardiovascular patients have demonstrated their efficacy in reducing LDL-C,0.801080518203626,Development of Novel DNA-Encoded PCSK9 Monoclonal Antibodies as Lipid-Lowering Therapeutics
34," However, influenza-vaccinated Tc bovine IVIG therapy deserves additional evaluation as a potential therapeutic for critically ill H1N1-infected patients",0.7874120232692002,Antibody-dependent NK cell degranulation as a marker for assessing antibody-dependent cytotoxicity against pandemic 2009 influenza A(H1N1) infection in human plasma and influenza-vaccinated transchromosomic bovine intravenous immunoglobulin therapy
26,Breast cancer has been targeted in several therapeutic and prophylactic vaccine studies,0.7811914684111777,vaccines Replicon RNA Viral Vectors as Vaccines
4,"In the absence of reliable antiviral drugs and vaccines, development of alternative strategies for influenza prophylaxis and therapy is urgently required",0.7761975343138052,New Class of Monoclonal Antibodies against Severe Influenza: Prophylactic and Therapeutic Efficacy in Ferrets
28," CpG ODN are currently evaluated in clinical trials in humans in the field of infectious diseases, cancer treatment and asthma/allergy",0.7731977188575154,Preparation of recombinant vaccines
43, 63 MHAA4549A is currently in Phase 2 clinical trials for the treatment of patients hospitalized with severe influenza A infection,0.7710237783369545,Antibody therapies for the prevention and treatment of viral infections
9, Many physicians use a combination of antiviral agents and immunoglobulins in patients at risk for CMV infection,0.7649296324977142,Therapeutic Applications of Monoclonal Antibodies
13," 44, 45 Studies suggest that poor prenatal care and nutrition may constitute major contributory factors for such severe outcomes in selected populations",0.7628187365250501,Inhibitor-Based Therapeutics for Treatment of Viral Hepatitis
21, Centers for Disease Control and Prevention concluded that further in vitro testing of antiviral drugs on other coronavirus isolates and more information on the clinical outcome of patients treated with ribavirin or other antiviral drugs in controlled trials is needed (5) ,0.7620787313943769,Inhibition of SARS Coronavirus Infection In Vitro with Clinically Approved Antiviral Drugs
3, Further investigations of the therapeutic potential of IFN-β are currently being carried out in an ongoing multicenter randomized Betaferon ® (Bayer Schering Pharma AG) study in patients with chronic viral cardiomyopathy (BICC study) [102] ,0.7610393123146428,molecules Pharmacological and Biological Antiviral Therapeutics for Cardiac Coxsackievirus Infections
