id,text,similarity,title
23, Immunogenicity and protection efficacy of polyvalent recombinant variola protein vaccines and polyvalent DNA vaccines expressing variola antigens,0.7196683814803134,Immunogenicity and Protection Efficacy of Subunit-based Smallpox Vaccines Using Variola Major Antigens
23, Immunization with the polyvalent recombinant VARV protein vaccines was significantly more immunogenic than immunization with the polyvalent VARV DNA vaccines (p<0,0.7000726008766194,Immunogenicity and Protection Efficacy of Subunit-based Smallpox Vaccines Using Variola Major Antigens
45," The viral infections with antiviral treatment options include HIV, hepatitis B and C virus, herpesvirus, influenza virus, human cytomegalovirus, varicella-zoster virus, respiratory syncytial virus (RSV) and human papillomavirus",0.6923800752428791,Antiviral therapeutic approaches for human rhinovirus infections
26, Obvious targets for vaccine development have been antigens of influenza virus and HIV,0.6798562309694534,vaccines Replicon RNA Viral Vectors as Vaccines
7,"SARS-CoV belongs to the Coronavirus family, Coronavirus genus",0.6796263561867772,Human monoclonal antibodies as candidate therapeutics against emerging viruses
24," Lastly, the first human clinical trial of a DNA vaccine formulated with Vaxfectin ® has been completed with plasmids that encode pandemic influenza virus antigens (H5N1)",0.6703514011464052,Journal of Immune Based Therapies and Vaccines Prospects for control of emerging infectious diseases with plasmid DNA vaccines
22,Immunization of chimpanzees with poliovirus vaccines and construction of combinatorial Fab antibody library,0.6678294162585467,Chimpanzee-Human Monoclonal Antibodies for Treatment of Chronic Poliovirus Excretors and Emergency Postexposure Prophylaxis ᰔ ‡
23,) VACV challenge in Balb/C mice immunized with DNA vaccines expressing variola antigens,0.660184760917299,Immunogenicity and Protection Efficacy of Subunit-based Smallpox Vaccines Using Variola Major Antigens
23, The protein vaccine was even more immunogenic than the live vaccinia vaccine in generating specific antibodies against three tested pox antigens,0.6601152768171671,Immunogenicity and Protection Efficacy of Subunit-based Smallpox Vaccines Using Variola Major Antigens
28, Mice vaccinated with an influenza virus vaccine with LTB showed higher systemic and mucosal antibody responses than mice receiving the vaccine alone [82] ,0.6572295008117152,Preparation of recombinant vaccines
